epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6118,0.00945,0.39299,0.86013,0.63195,0.69554,0.70682,0.37126,0.00996,0.90297,0.83268,0.000664225,0.000664225,0.000664225
2,55.4124,0.00924,0.26375,0.85497,0.84871,0.81186,0.87608,0.56103,0.00841,0.4266,0.77129,0.00131772,0.00131772,0.00131772
3,80.9255,0.00914,0.21792,0.85334,0.84437,0.83681,0.89375,0.59796,0.00814,0.20104,0.75679,0.00195801,0.00195801,0.00195801
4,106.938,0.00885,0.19932,0.83814,0.89947,0.85932,0.93686,0.62194,0.00777,0.44015,0.73606,0.0019406,0.0019406,0.0019406
5,142.092,0.00836,0.17906,0.81763,0.9304,0.88366,0.96027,0.65904,0.00711,0.20539,0.69282,0.0019208,0.0019208,0.0019208
6,173.969,0.00817,0.1724,0.80013,0.90619,0.85085,0.92393,0.64138,0.00747,0.18585,0.70658,0.001901,0.001901,0.001901
7,203.406,0.0078,0.16162,0.78344,0.93362,0.88136,0.9485,0.66891,0.00713,0.14171,0.68355,0.0018812,0.0018812,0.0018812
8,232.221,0.00781,0.15668,0.77851,0.93399,0.94237,0.97525,0.68686,0.00684,0.21806,0.66145,0.0018614,0.0018614,0.0018614
9,259.288,0.0076,0.15079,0.77394,0.9011,0.92659,0.96579,0.69564,0.0066,0.1587,0.65402,0.0018416,0.0018416,0.0018416
10,285.014,0.00748,0.14538,0.7634,0.92222,0.90508,0.96547,0.68173,0.00695,0.12987,0.66284,0.0018218,0.0018218,0.0018218
11,310.443,0.00746,0.14281,0.75901,0.96257,0.94407,0.98169,0.71135,0.00674,0.13376,0.65924,0.001802,0.001802,0.001802
12,336.097,0.00715,0.13832,0.74757,0.9647,0.95254,0.98129,0.70349,0.00667,0.14998,0.65214,0.0017822,0.0017822,0.0017822
13,361.286,0.00729,0.13876,0.74998,0.96472,0.93729,0.98414,0.72059,0.00627,0.1149,0.63257,0.0017624,0.0017624,0.0017624
14,386.612,0.00708,0.13292,0.73723,0.96723,0.95043,0.98754,0.72876,0.00622,0.1165,0.634,0.0017426,0.0017426,0.0017426
15,411.883,0.00715,0.1324,0.73853,0.972,0.94126,0.98332,0.71609,0.0064,0.15583,0.64038,0.0017228,0.0017228,0.0017228
16,437.431,0.00693,0.12713,0.73428,0.95058,0.94543,0.9789,0.72634,0.00626,0.1281,0.63908,0.001703,0.001703,0.001703
17,462.791,0.00701,0.12705,0.72715,0.95937,0.96271,0.98202,0.72896,0.00621,0.16292,0.63687,0.0016832,0.0016832,0.0016832
18,488.775,0.00677,0.12481,0.71949,0.96385,0.9491,0.98709,0.7434,0.00618,0.11091,0.62541,0.0016634,0.0016634,0.0016634
19,515.532,0.00683,0.12342,0.72393,0.96074,0.95386,0.99012,0.74129,0.00631,0.10411,0.63689,0.0016436,0.0016436,0.0016436
20,542.033,0.00678,0.12105,0.72073,0.96799,0.9661,0.98909,0.73917,0.00631,0.10754,0.63075,0.0016238,0.0016238,0.0016238
21,565.709,0.00671,0.11922,0.71263,0.96781,0.94915,0.98413,0.72936,0.00615,0.12891,0.6238,0.001604,0.001604,0.001604
22,589.663,0.0065,0.11651,0.70768,0.95642,0.95424,0.98489,0.74528,0.00603,0.09529,0.62481,0.0015842,0.0015842,0.0015842
23,613.259,0.00666,0.11906,0.71312,0.97562,0.94945,0.99003,0.75231,0.00593,0.10131,0.61517,0.0015644,0.0015644,0.0015644
24,636.911,0.00652,0.11634,0.70708,0.96931,0.96342,0.99002,0.75,0.00612,0.10734,0.62414,0.0015446,0.0015446,0.0015446
25,660.35,0.00652,0.11615,0.71108,0.96578,0.96949,0.98808,0.74409,0.00611,0.10533,0.6238,0.0015248,0.0015248,0.0015248
26,683.93,0.00644,0.11248,0.70344,0.9646,0.9698,0.9901,0.7616,0.00589,0.09708,0.61807,0.001505,0.001505,0.001505
27,707.466,0.00633,0.1115,0.69754,0.95783,0.97458,0.99224,0.75453,0.00601,0.09469,0.61649,0.0014852,0.0014852,0.0014852
28,730.455,0.00649,0.1133,0.69898,0.9664,0.98644,0.99256,0.76781,0.00584,0.08746,0.61581,0.0014654,0.0014654,0.0014654
29,753.569,0.00633,0.10987,0.70632,0.96885,0.95763,0.99085,0.76754,0.00593,0.08856,0.627,0.0014456,0.0014456,0.0014456
30,776.838,0.0064,0.11006,0.69806,0.96473,0.97364,0.99181,0.75862,0.00599,0.09555,0.6158,0.0014258,0.0014258,0.0014258
31,799.996,0.00616,0.10663,0.6942,0.98822,0.95424,0.99277,0.76247,0.00577,0.08873,0.61147,0.001406,0.001406,0.001406
32,823.7,0.00625,0.10642,0.69814,0.96903,0.97797,0.99222,0.75365,0.0059,0.09437,0.61413,0.0013862,0.0013862,0.0013862
33,846.918,0.00626,0.10649,0.69211,0.97441,0.96821,0.99246,0.76856,0.00583,0.08552,0.61435,0.0013664,0.0013664,0.0013664
34,870.366,0.00629,0.1074,0.6903,0.96975,0.97458,0.99251,0.76756,0.00581,0.08664,0.61257,0.0013466,0.0013466,0.0013466
35,894.009,0.00626,0.10537,0.68795,0.96874,0.9661,0.99184,0.77228,0.00571,0.08876,0.60491,0.0013268,0.0013268,0.0013268
36,917.296,0.00625,0.10594,0.6903,0.97625,0.9755,0.99306,0.77635,0.00574,0.08339,0.60455,0.001307,0.001307,0.001307
37,940.834,0.00613,0.10356,0.68356,0.96789,0.98305,0.99299,0.76174,0.00583,0.12712,0.61164,0.0012872,0.0012872,0.0012872
38,964.514,0.00608,0.10394,0.68265,0.97928,0.97288,0.99279,0.77263,0.00589,0.08609,0.615,0.0012674,0.0012674,0.0012674
39,988.053,0.00607,0.10236,0.6837,0.96484,0.97681,0.99009,0.76535,0.00578,0.08508,0.60429,0.0012476,0.0012476,0.0012476
40,1011.56,0.00606,0.1009,0.677,0.98117,0.97136,0.99297,0.778,0.00586,0.08158,0.61354,0.0012278,0.0012278,0.0012278
41,1034.94,0.006,0.10161,0.6824,0.97787,0.97367,0.99255,0.76379,0.00568,0.12076,0.60152,0.001208,0.001208,0.001208
42,1058.23,0.00614,0.10083,0.67928,0.98124,0.97541,0.99297,0.77732,0.00564,0.08481,0.60265,0.0011882,0.0011882,0.0011882
43,1081.33,0.00607,0.10049,0.67844,0.97959,0.97594,0.99224,0.77187,0.00569,0.08171,0.60375,0.0011684,0.0011684,0.0011684
44,1104.24,0.00595,0.09748,0.67885,0.983,0.98475,0.99356,0.77584,0.00564,0.10204,0.60174,0.0011486,0.0011486,0.0011486
45,1127.56,0.00596,0.09833,0.68026,0.98374,0.97458,0.99379,0.79165,0.00552,0.07747,0.5942,0.0011288,0.0011288,0.0011288
46,1151.09,0.00598,0.09758,0.67353,0.98355,0.98136,0.99408,0.78413,0.00563,0.07828,0.60196,0.001109,0.001109,0.001109
47,1174.67,0.00592,0.09669,0.67574,0.97807,0.98249,0.994,0.78655,0.00558,0.07741,0.59927,0.0010892,0.0010892,0.0010892
48,1197.88,0.00587,0.09574,0.67195,0.98606,0.97797,0.99373,0.77924,0.00562,0.07956,0.60202,0.0010694,0.0010694,0.0010694
49,1221.28,0.00587,0.09722,0.66988,0.98116,0.97114,0.99298,0.77671,0.00564,0.08458,0.59553,0.0010496,0.0010496,0.0010496
50,1244.8,0.0059,0.09634,0.66844,0.97601,0.97797,0.99309,0.7821,0.00569,0.08037,0.59677,0.0010298,0.0010298,0.0010298
51,1267.94,0.00577,0.09481,0.66676,0.98807,0.98232,0.99321,0.80042,0.00553,0.0777,0.59717,0.00101,0.00101,0.00101
52,1291.16,0.00589,0.09452,0.66813,0.99246,0.97966,0.99387,0.79505,0.00552,0.07421,0.59555,0.0009902,0.0009902,0.0009902
53,1314.73,0.00579,0.09358,0.66534,0.99405,0.97797,0.9943,0.79249,0.00543,0.07579,0.58795,0.0009704,0.0009704,0.0009704
54,1338.06,0.00578,0.09501,0.66748,0.98127,0.98814,0.9937,0.78811,0.00564,0.0751,0.59828,0.0009506,0.0009506,0.0009506
55,1361.59,0.00586,0.09391,0.67062,0.98304,0.98256,0.99393,0.79526,0.00553,0.07731,0.5967,0.0009308,0.0009308,0.0009308
56,1384.97,0.00575,0.09215,0.6635,0.98143,0.98524,0.99366,0.78192,0.00557,0.07912,0.59397,0.000911,0.000911,0.000911
57,1408.37,0.00577,0.09252,0.66375,0.98583,0.98475,0.99419,0.78337,0.00552,0.07866,0.59367,0.0008912,0.0008912,0.0008912
58,1431.42,0.00573,0.09211,0.66022,0.97807,0.98292,0.99379,0.7897,0.00553,0.075,0.59129,0.0008714,0.0008714,0.0008714
59,1454.82,0.00574,0.09141,0.66167,0.98088,0.97627,0.99365,0.78546,0.00554,0.076,0.60071,0.0008516,0.0008516,0.0008516
60,1478.09,0.00579,0.0909,0.66202,0.98225,0.97966,0.99315,0.7994,0.00554,0.08021,0.59535,0.0008318,0.0008318,0.0008318
61,1501.53,0.00565,0.09074,0.66126,0.9898,0.98725,0.99373,0.79566,0.00551,0.07576,0.59893,0.000812,0.000812,0.000812
62,1524.96,0.0056,0.08856,0.65878,0.98311,0.98659,0.99424,0.79978,0.00553,0.07352,0.59861,0.0007922,0.0007922,0.0007922
63,1548.41,0.00553,0.08818,0.65972,0.99317,0.98615,0.99424,0.78915,0.00553,0.07449,0.59581,0.0007724,0.0007724,0.0007724
64,1571.64,0.00565,0.08906,0.65971,0.9798,0.98648,0.9941,0.78859,0.00552,0.07519,0.59581,0.0007526,0.0007526,0.0007526
65,1595.01,0.00559,0.08747,0.65655,0.98807,0.98276,0.99401,0.79745,0.00544,0.0722,0.59024,0.0007328,0.0007328,0.0007328
66,1618.06,0.0056,0.08755,0.65888,0.98499,0.98305,0.99411,0.79374,0.0054,0.07085,0.58732,0.000713,0.000713,0.000713
67,1641.13,0.00557,0.08639,0.65787,0.97654,0.98765,0.99387,0.80184,0.0054,0.07346,0.5893,0.0006932,0.0006932,0.0006932
68,1664.24,0.0055,0.08606,0.6574,0.9835,0.98475,0.99397,0.80502,0.00534,0.07207,0.5885,0.0006734,0.0006734,0.0006734
69,1687.63,0.00549,0.08577,0.65192,0.98968,0.97503,0.99315,0.8077,0.00541,0.07006,0.58946,0.0006536,0.0006536,0.0006536
70,1711.13,0.00548,0.08586,0.6526,0.98795,0.98644,0.99431,0.79834,0.00549,0.07161,0.59145,0.0006338,0.0006338,0.0006338
