epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1665,0.01075,0.45541,0.94788,0.77137,0.50339,0.61097,0.33862,0.0106,1.08708,0.93225,0.000664225,0.000664225,0.000664225
2,49.7847,0.0103,0.30993,0.91719,0.79623,0.72203,0.77866,0.46332,0.0092,0.59507,0.81386,0.00131772,0.00131772,0.00131772
3,73.2877,0.00989,0.25536,0.89969,0.77746,0.72241,0.78465,0.50169,0.00869,0.35459,0.78322,0.00195801,0.00195801,0.00195801
4,98.2943,0.00977,0.23501,0.888,0.88145,0.80678,0.89106,0.60519,0.00783,0.38889,0.72163,0.0019406,0.0019406,0.0019406
5,121.884,0.00906,0.20999,0.86595,0.92486,0.83448,0.90994,0.5973,0.00808,0.17736,0.74769,0.0019208,0.0019208,0.0019208
6,145.402,0.00879,0.19735,0.83676,0.90359,0.85785,0.93003,0.6346,0.00741,0.18225,0.70128,0.001901,0.001901,0.001901
7,168.186,0.00851,0.1845,0.82528,0.91752,0.88621,0.9315,0.63976,0.00739,0.29116,0.70912,0.0018812,0.0018812,0.0018812
8,190.603,0.00833,0.178,0.8068,0.95613,0.89831,0.96143,0.67857,0.00692,0.16319,0.66999,0.0018614,0.0018614,0.0018614
9,213.61,0.0082,0.1742,0.81126,0.9187,0.91939,0.96044,0.68655,0.00693,0.18823,0.67447,0.0018416,0.0018416,0.0018416
10,236.969,0.00801,0.16937,0.79247,0.9441,0.91604,0.96407,0.6918,0.00667,0.12964,0.66103,0.0018218,0.0018218,0.0018218
11,261.177,0.00791,0.16192,0.78825,0.96758,0.93051,0.97329,0.69712,0.00691,0.1519,0.6678,0.001802,0.001802,0.001802
12,284.305,0.00756,0.15267,0.77115,0.94126,0.89634,0.96316,0.67708,0.00709,0.13615,0.68665,0.0017822,0.0017822,0.0017822
13,308.21,0.00769,0.15541,0.77751,0.96492,0.93229,0.97279,0.70434,0.00668,0.12786,0.6559,0.0017624,0.0017624,0.0017624
14,335.07,0.00755,0.14858,0.76632,0.97143,0.92218,0.97469,0.69838,0.00667,0.13079,0.65815,0.0017426,0.0017426,0.0017426
15,360.138,0.00752,0.1504,0.76636,0.94967,0.93898,0.97404,0.69374,0.00667,0.14024,0.66686,0.0017228,0.0017228,0.0017228
16,383.865,0.0074,0.14428,0.76126,0.95589,0.91835,0.96863,0.70834,0.00666,0.12277,0.65957,0.001703,0.001703,0.001703
17,408.343,0.00736,0.14147,0.75135,0.95359,0.95424,0.97845,0.72685,0.00641,0.10739,0.65333,0.0016832,0.0016832,0.0016832
18,432.621,0.0073,0.1397,0.75116,0.9504,0.93729,0.97246,0.70843,0.00657,0.14182,0.6507,0.0016634,0.0016634,0.0016634
19,455.735,0.00709,0.13319,0.74364,0.97417,0.92203,0.97646,0.71096,0.00662,0.11393,0.66039,0.0016436,0.0016436,0.0016436
20,479.701,0.00718,0.13475,0.74553,0.96733,0.94068,0.97859,0.72381,0.00651,0.12821,0.65336,0.0016238,0.0016238,0.0016238
21,503.435,0.00713,0.13432,0.74283,0.96547,0.95085,0.98047,0.72175,0.00637,0.11419,0.64719,0.001604,0.001604,0.001604
22,526.577,0.00686,0.13014,0.7317,0.96805,0.94576,0.9784,0.72045,0.00646,0.10537,0.65001,0.0015842,0.0015842,0.0015842
23,549.602,0.00711,0.13135,0.74165,0.97925,0.93898,0.97957,0.72492,0.00635,0.14429,0.64272,0.0015644,0.0015644,0.0015644
24,573.544,0.00693,0.12867,0.73549,0.96054,0.94887,0.97844,0.72142,0.00634,0.10552,0.64761,0.0015446,0.0015446,0.0015446
25,597.042,0.00689,0.12634,0.73389,0.97216,0.95085,0.98365,0.72998,0.00634,0.1364,0.64792,0.0015248,0.0015248,0.0015248
26,620.683,0.00683,0.12505,0.72754,0.96001,0.96441,0.98203,0.73064,0.00629,0.10317,0.64432,0.001505,0.001505,0.001505
27,643.569,0.00662,0.11965,0.72006,0.95429,0.95932,0.98408,0.73301,0.00623,0.10215,0.64149,0.0014852,0.0014852,0.0014852
